basename,anger,disgust,fear,joy,neutral,sadness,surprise
dev/0001/dia105_utt8,0,0,0,1,0,0,0
dev/0001/dia105_utt9,0,0,0,1,0,0,0
dev/0004/dia106_utt0,0,0,0,0,1,0,0
dev/0003/dia106_utt1,0,0,0,0,1,0,0
dev/0000/dia106_utt2,0,0,0,0,1,0,0
dev/0001/dia106_utt3,0,0,0,0,1,0,0
dev/0004/dia106_utt4,0,0,0,1,0,0,0
dev/0003/dia106_utt5,0,0,0,0,1,0,0
dev/0000/dia107_utt0,0,0,0,0,1,0,0
dev/0002/dia107_utt1,0,0,0,0,1,0,0
dev/0004/dia107_utt2,0,0,0,0,0,0,1
dev/0002/dia107_utt3,0,0,0,0,0,0,1
dev/0004/dia108_utt0,0,0,0,0,0,0,1
dev/0000/dia108_utt1,0,0,1,0,0,0,0
dev/0005/dia108_utt10,0,0,0,1,0,0,0
dev/0002/dia108_utt11,0,0,0,1,0,0,0
dev/0005/dia108_utt12,0,0,1,0,0,0,0
dev/0002/dia108_utt13,0,0,0,0,1,0,0
dev/0005/dia108_utt14,0,0,0,0,1,0,0
dev/0000/dia108_utt2,0,0,0,0,0,0,1
dev/0000/dia108_utt3,1,0,0,0,0,0,0
dev/0000/dia108_utt4,1,0,0,0,0,0,0
dev/0000/dia108_utt5,1,0,0,0,0,0,0
dev/0000/dia108_utt6,1,0,0,0,0,0,0
dev/0000/dia108_utt7,0,0,0,0,0,0,1
dev/0000/dia108_utt8,0,0,0,0,0,1,0
dev/0006/dia108_utt9,0,0,0,0,1,0,0
dev/0001/dia109_utt0,0,0,0,0,1,0,0
dev/0004/dia109_utt1,0,0,0,1,0,0,0
dev/0006/dia109_utt2,0,1,0,0,0,0,0
dev/0001/dia109_utt3,0,0,0,0,0,1,0
dev/0004/dia109_utt4,1,0,0,0,0,0,0
dev/0004/dia109_utt5,0,0,0,0,1,0,0
dev/0004/dia109_utt6,0,0,0,0,1,0,0
dev/0004/dia109_utt7,0,0,0,0,1,0,0
dev/0006/dia10_utt0,0,0,0,0,1,0,0
dev/0007/dia10_utt1,0,0,0,0,1,0,0
dev/0003/dia10_utt2,0,0,1,0,0,0,0
dev/0004/dia10_utt3,0,0,0,1,0,0,0
dev/0007/dia10_utt4,1,0,0,0,0,0,0
dev/0006/dia10_utt5,1,0,0,0,0,0,0
dev/0004/dia10_utt6,1,0,0,0,0,0,0
dev/0006/dia10_utt7,1,0,0,0,0,0,0
dev/0003/dia10_utt8,0,0,0,0,1,0,0
dev/0006/dia10_utt9,0,0,0,0,1,0,0
dev/0000/dia110_utt0,0,0,0,0,1,0,0
dev/0002/dia110_utt1,0,0,0,0,1,0,0
dev/0000/dia110_utt2,0,0,0,0,1,0,0
dev/0002/dia110_utt3,0,0,0,0,1,0,0
dev/0000/dia110_utt4,0,0,0,0,1,0,0
dev/0000/dia110_utt5,0,0,0,1,0,0,0
dev/0000/dia110_utt6,0,0,0,1,0,0,0
dev/0002/dia110_utt8,0,0,0,1,0,0,0
dev/0000/dia110_utt9,0,0,0,1,0,0,0
dev/0003/dia111_utt0,1,0,0,0,0,0,0
dev/0001/dia111_utt1,0,0,0,0,1,0,0
dev/0003/dia111_utt2,0,0,0,0,1,0,0
dev/0000/dia112_utt0,1,0,0,0,0,0,0
dev/0000/dia112_utt1,0,0,0,0,0,1,0
dev/0008/dia112_utt2,0,0,0,0,1,0,0
dev/0000/dia112_utt3,0,0,0,0,0,1,0
dev/0008/dia112_utt4,0,0,0,0,1,0,0
dev/0001/dia113_utt0,0,0,0,0,1,0,0
dev/0002/dia113_utt1,0,0,0,0,0,1,0
dev/0002/dia113_utt10,0,0,0,0,0,1,0
dev/0001/dia113_utt11,0,0,0,0,0,1,0
dev/0002/dia113_utt12,0,0,0,0,0,1,0
dev/0001/dia113_utt13,0,0,0,0,0,1,0
dev/0001/dia113_utt2,0,0,0,0,1,0,0
dev/0001/dia113_utt3,0,0,0,0,0,1,0
dev/0001/dia113_utt4,0,0,0,0,1,0,0
dev/0001/dia113_utt5,0,0,0,0,1,0,0
dev/0002/dia113_utt6,0,0,0,0,0,0,1
dev/0001/dia113_utt7,0,0,0,0,1,0,0
dev/0002/dia113_utt8,0,0,0,0,0,1,0
dev/0001/dia113_utt9,0,0,0,0,0,1,0
dev/0000/dia11_utt0,0,0,0,0,1,0,0
dev/0002/dia11_utt1,0,0,0,0,1,0,0
dev/0002/dia11_utt10,1,0,0,0,0,0,0
dev/0000/dia11_utt11,0,0,0,0,1,0,0
dev/0002/dia11_utt12,1,0,0,0,0,0,0
dev/0000/dia11_utt2,0,0,0,0,1,0,0
dev/0002/dia11_utt3,0,0,0,0,0,0,1
dev/0000/dia11_utt4,1,0,0,0,0,0,0
dev/0002/dia11_utt5,0,0,1,0,0,0,0
dev/0002/dia11_utt6,0,0,0,0,1,0,0
dev/0000/dia11_utt7,0,0,1,0,0,0,0
dev/0002/dia11_utt8,1,0,0,0,0,0,0
dev/0000/dia11_utt9,0,0,0,0,1,0,0
dev/0006/dia12_utt0,0,0,0,0,1,0,0
dev/0000/dia12_utt1,0,0,0,0,1,0,0
dev/0000/dia12_utt2,0,0,0,0,1,0,0
dev/0006/dia12_utt3,0,0,0,0,0,0,1
dev/0000/dia12_utt4,0,0,0,0,0,1,0
dev/0009/dia13_utt0,0,0,0,0,1,0,0
dev/0000/dia13_utt1,1,0,0,0,0,0,0
dev/0005/dia13_utt10,0,0,0,0,0,0,1
dev/0005/dia13_utt11,0,0,0,0,0,0,1
dev/0003/dia13_utt12,0,0,0,0,0,0,1
dev/0005/dia13_utt13,0,0,0,0,0,0,1
dev/0005/dia13_utt14,0,0,0,0,0,0,1
dev/0005/dia13_utt15,0,0,0,0,0,0,1
dev/0003/dia13_utt16,0,0,0,1,0,0,0
dev/0010/dia13_utt17,0,0,0,0,1,0,0
dev/0005/dia13_utt18,0,0,0,1,0,0,0
dev/0010/dia13_utt19,0,0,0,0,0,0,1
dev/0005/dia13_utt2,0,0,0,1,0,0,0
dev/0005/dia13_utt20,0,0,0,1,0,0,0
dev/0010/dia13_utt21,0,0,0,1,0,0,0
dev/0005/dia13_utt3,0,0,0,1,0,0,0
dev/0005/dia13_utt4,0,0,0,1,0,0,0
dev/0005/dia13_utt5,0,0,0,0,0,0,1
dev/0005/dia13_utt6,0,0,0,0,0,0,1
dev/0005/dia13_utt7,0,0,0,0,0,0,1
dev/0005/dia13_utt8,0,0,0,1,0,0,0
dev/0009/dia13_utt9,0,0,0,1,0,0,0
dev/0011/dia14_utt0,0,0,0,1,0,0,0
dev/0003/dia14_utt1,0,0,0,0,1,0,0
dev/0011/dia14_utt2,0,0,0,0,1,0,0
dev/0003/dia14_utt3,0,0,0,0,1,0,0
dev/0011/dia14_utt4,1,0,0,0,0,0,0
dev/0003/dia14_utt5,0,0,0,0,0,1,0
dev/0011/dia14_utt6,0,0,0,0,0,1,0
dev/0003/dia14_utt7,0,0,0,0,0,1,0
dev/0011/dia14_utt8,1,0,0,0,0,0,0
dev/0002/dia15_utt0,0,0,0,1,0,0,0
dev/0004/dia15_utt1,0,0,0,1,0,0,0
dev/0002/dia15_utt2,0,0,0,0,0,0,1
dev/0004/dia15_utt3,0,0,0,0,1,0,0
dev/0002/dia15_utt4,0,0,0,0,0,0,1
dev/0004/dia15_utt5,0,0,0,0,1,0,0
dev/0002/dia15_utt6,0,0,1,0,0,0,0
dev/0004/dia15_utt7,0,1,0,0,0,0,0
dev/0002/dia15_utt8,0,0,1,0,0,0,0
dev/0004/dia15_utt9,0,0,1,0,0,0,0
dev/0012/dia16_utt0,0,0,0,0,1,0,0
dev/0013/dia16_utt1,0,0,0,0,0,1,0
dev/0012/dia16_utt10,0,0,0,0,0,1,0
dev/0006/dia16_utt11,1,0,0,0,0,0,0
dev/0000/dia16_utt12,1,0,0,0,0,0,0
dev/0013/dia16_utt13,0,0,0,0,1,0,0
dev/0006/dia16_utt14,0,0,0,0,0,1,0
dev/0000/dia16_utt15,0,0,0,0,1,0,0
dev/0006/dia16_utt16,1,0,0,0,0,0,0
dev/0000/dia16_utt17,1,0,0,0,0,0,0
dev/0006/dia16_utt18,0,0,0,0,0,1,0
dev/0006/dia16_utt2,0,0,0,0,0,0,1
dev/0013/dia16_utt3,0,0,0,1,0,0,0
dev/0000/dia16_utt4,1,0,0,0,0,0,0
dev/0012/dia16_utt5,0,0,0,0,1,0,0
dev/0000/dia16_utt6,1,0,0,0,0,0,0
dev/0006/dia16_utt7,1,0,0,0,0,0,0
dev/0012/dia16_utt8,0,0,0,0,1,0,0
dev/0006/dia16_utt9,0,1,0,0,0,0,0
dev/0004/dia17_utt0,1,0,0,0,0,0,0
dev/0014/dia17_utt1,1,0,0,0,0,0,0
dev/0002/dia17_utt2,1,0,0,0,0,0,0
dev/0006/dia17_utt3,1,0,0,0,0,0,0
dev/0002/dia17_utt4,1,0,0,0,0,0,0
dev/0001/dia18_utt0,0,0,0,0,1,0,0
dev/0000/dia18_utt1,0,0,0,0,1,0,0
dev/0001/dia18_utt10,1,0,0,0,0,0,0
dev/0001/dia18_utt11,0,0,0,0,1,0,0
dev/0000/dia18_utt12,0,0,0,0,0,0,1
dev/0001/dia18_utt13,1,0,0,0,0,0,0
dev/0001/dia18_utt2,0,0,0,0,1,0,0
dev/0000/dia18_utt3,0,0,0,0,1,0,0
dev/0001/dia18_utt4,0,0,1,0,0,0,0
dev/0001/dia18_utt5,0,0,1,0,0,0,0
dev/0001/dia18_utt6,0,0,1,0,0,0,0
dev/0000/dia18_utt7,0,0,1,0,0,0,0
dev/0001/dia18_utt8,0,0,1,0,0,0,0
dev/0000/dia18_utt9,0,0,0,0,1,0,0
dev/0006/dia19_utt0,0,0,0,0,1,0,0
dev/0006/dia19_utt1,1,0,0,0,0,0,0
dev/0006/dia19_utt10,0,0,0,0,0,1,0
dev/0015/dia19_utt11,0,0,0,0,1,0,0
dev/0015/dia19_utt12,0,0,0,0,1,0,0
dev/0015/dia19_utt13,1,0,0,0,0,0,0
dev/0015/dia19_utt14,0,0,0,0,0,1,0
dev/0006/dia19_utt15,0,0,0,0,1,0,0
dev/0000/dia19_utt16,0,0,0,1,0,0,0
dev/0006/dia19_utt17,0,0,0,0,1,0,0
dev/0000/dia19_utt18,0,0,0,0,0,1,0
dev/0000/dia19_utt19,0,0,0,1,0,0,0
dev/0006/dia19_utt2,1,0,0,0,0,0,0
dev/0000/dia19_utt20,0,0,0,0,0,1,0
dev/0000/dia19_utt21,0,0,0,1,0,0,0
dev/0000/dia19_utt22,0,0,0,0,0,1,0
dev/0006/dia19_utt3,1,0,0,0,0,0,0
dev/0006/dia19_utt4,1,0,0,0,0,0,0
dev/0015/dia19_utt5,1,0,0,0,0,0,0
dev/0006/dia19_utt6,1,0,0,0,0,0,0
dev/0006/dia19_utt7,1,0,0,0,0,0,0
dev/0006/dia19_utt8,0,0,0,0,1,0,0
dev/0006/dia19_utt9,1,0,0,0,0,0,0
dev/0006/dia1_utt0,0,0,0,0,1,0,0
dev/0003/dia1_utt1,0,0,0,1,0,0,0
dev/0000/dia1_utt10,0,0,0,0,0,0,1
dev/0000/dia1_utt11,1,0,0,0,0,0,0
dev/0001/dia1_utt12,0,0,0,0,1,0,0
dev/0004/dia1_utt13,0,0,0,1,0,0,0
dev/0003/dia1_utt14,0,0,0,0,1,0,0
dev/0004/dia1_utt15,0,0,0,0,1,0,0
dev/0004/dia1_utt2,0,0,0,0,0,1,0
dev/0003/dia1_utt3,0,0,0,0,1,0,0
dev/0000/dia1_utt4,0,0,0,0,1,0,0
dev/0016/dia1_utt5,0,0,0,1,0,0,0
dev/0000/dia1_utt6,0,0,0,0,1,0,0
dev/0002/dia1_utt7,0,0,0,0,0,0,1
dev/0000/dia1_utt8,0,0,0,0,1,0,0
dev/0006/dia1_utt9,0,0,0,0,1,0,0
dev/0004/dia20_utt0,0,0,0,0,1,0,0
dev/0001/dia20_utt1,0,0,0,0,1,0,0
dev/0002/dia20_utt2,0,0,0,1,0,0,0
dev/0001/dia20_utt3,0,0,0,0,1,0,0
dev/0002/dia20_utt4,0,1,0,0,0,0,0
dev/0001/dia20_utt5,0,1,0,0,0,0,0
dev/0002/dia20_utt6,0,1,0,0,0,0,0
dev/0004/dia20_utt7,0,0,0,0,0,0,1
dev/0004/dia21_utt0,0,0,0,0,1,0,0
dev/0004/dia21_utt1,0,0,0,0,1,0,0
dev/0000/dia21_utt2,0,0,0,0,1,0,0
dev/0006/dia21_utt3,0,0,0,0,1,0,0
dev/0003/dia21_utt4,0,0,0,0,1,0,0
dev/0016/dia21_utt5,0,0,0,0,1,0,0
dev/0003/dia21_utt6,0,0,0,0,0,0,1
dev/0003/dia22_utt0,0,0,0,0,1,0,0
dev/0003/dia22_utt1,0,0,0,0,1,0,0
dev/0006/dia22_utt10,0,0,0,0,1,0,0
dev/0004/dia22_utt11,0,0,0,0,0,0,1
dev/0003/dia22_utt12,0,0,0,0,0,0,1
dev/0004/dia22_utt13,0,0,0,0,0,0,1
dev/0003/dia22_utt2,0,0,0,0,1,0,0
dev/0003/dia22_utt3,0,0,0,0,0,0,1
dev/0003/dia22_utt4,0,0,0,0,1,0,0
dev/0003/dia22_utt5,0,0,0,0,1,0,0
dev/0006/dia22_utt6,1,0,0,0,0,0,0
dev/0003/dia22_utt7,0,0,0,0,1,0,0
dev/0006/dia22_utt8,0,0,0,0,1,0,0
dev/0004/dia22_utt9,0,0,0,0,1,0,0
dev/0006/dia23_utt0,0,0,0,0,1,0,0
dev/0000/dia23_utt1,0,0,0,0,0,1,0
dev/0000/dia23_utt10,0,0,0,0,0,1,0
dev/0006/dia23_utt11,0,0,0,0,0,1,0
dev/0006/dia23_utt12,0,0,0,0,0,1,0
dev/0000/dia23_utt13,0,0,0,0,0,1,0
dev/0006/dia23_utt2,0,0,0,0,0,1,0
dev/0000/dia23_utt3,0,0,0,0,0,0,1
dev/0006/dia23_utt4,0,0,0,0,0,1,0
dev/0000/dia23_utt5,0,0,0,0,0,0,1
dev/0006/dia23_utt6,0,1,0,0,0,0,0
dev/0006/dia23_utt7,0,0,0,0,0,1,0
dev/0000/dia23_utt8,0,0,0,0,1,0,0
dev/0006/dia23_utt9,0,0,0,0,0,0,1
dev/0017/dia24_utt0,0,0,0,0,1,0,0
dev/0004/dia24_utt1,0,0,0,0,1,0,0
dev/0004/dia24_utt2,0,0,0,0,0,1,0
dev/0004/dia24_utt3,0,0,0,0,1,0,0
dev/0003/dia24_utt4,0,0,0,1,0,0,0
dev/0004/dia24_utt5,0,0,0,0,1,0,0
dev/0003/dia24_utt6,0,0,0,0,1,0,0
dev/0004/dia24_utt7,1,0,0,0,0,0,0
dev/0003/dia24_utt8,0,0,0,0,0,0,1
dev/0000/dia25_utt0,1,0,0,0,0,0,0
dev/0001/dia25_utt1,0,0,0,0,0,0,1
dev/0000/dia25_utt2,1,0,0,0,0,0,0
dev/0000/dia25_utt3,1,0,0,0,0,0,0
dev/0001/dia25_utt4,0,0,0,0,0,1,0
dev/0000/dia25_utt5,1,0,0,0,0,0,0
dev/0001/dia26_utt0,0,0,0,0,1,0,0
dev/0002/dia26_utt1,0,0,0,0,0,0,1
dev/0001/dia26_utt10,0,0,0,0,0,1,0
dev/0001/dia26_utt11,0,0,0,0,0,1,0
dev/0002/dia26_utt12,1,0,0,0,0,0,0
dev/0001/dia26_utt13,1,0,0,0,0,0,0
dev/0002/dia26_utt14,1,0,0,0,0,0,0
dev/0001/dia26_utt15,1,0,0,0,0,0,0
dev/0002/dia26_utt16,0,0,0,0,0,1,0
dev/0001/dia26_utt2,0,0,0,0,0,0,1
dev/0002/dia26_utt3,0,0,0,0,1,0,0
dev/0001/dia26_utt4,0,0,0,0,1,0,0
dev/0001/dia26_utt5,0,0,0,0,1,0,0
dev/0002/dia26_utt6,0,0,0,0,0,0,1
dev/0001/dia26_utt7,0,0,0,0,0,1,0
dev/0002/dia26_utt8,1,0,0,0,0,0,0
dev/0001/dia26_utt9,0,0,0,0,0,1,0
dev/0001/dia27_utt0,0,0,0,0,0,0,1
dev/0000/dia27_utt1,0,0,0,0,1,0,0
dev/0001/dia27_utt2,0,0,0,0,0,0,1
dev/0003/dia27_utt3,0,0,0,0,0,1,0
dev/0000/dia27_utt4,0,0,0,0,1,0,0
dev/0002/dia27_utt5,0,0,0,0,0,0,1
dev/0001/dia27_utt6,1,0,0,0,0,0,0
dev/0000/dia27_utt7,0,0,0,0,1,0,0
dev/0003/dia27_utt8,0,0,0,0,0,0,1
dev/0000/dia27_utt9,0,0,0,0,0,0,1
dev/0006/dia28_utt0,0,0,0,0,1,0,0
dev/0000/dia28_utt1,0,0,0,0,0,1,0
dev/0003/dia28_utt10,0,0,0,0,1,0,0
dev/0004/dia28_utt2,0,0,0,1,0,0,0
dev/0000/dia28_utt3,0,0,0,0,1,0,0
dev/0002/dia28_utt4,0,0,0,0,1,0,0
dev/0001/dia28_utt5,0,0,0,0,0,1,0
dev/0016/dia28_utt6,0,0,0,0,0,1,0
dev/0000/dia28_utt7,0,0,0,1,0,0,0
dev/0002/dia28_utt8,0,0,0,0,0,0,1
dev/0004/dia28_utt9,0,0,0,0,1,0,0
dev/0001/dia29_utt0,1,0,0,0,0,0,0
dev/0002/dia29_utt1,0,0,0,0,1,0,0
dev/0002/dia29_utt10,0,0,0,1,0,0,0
dev/0001/dia29_utt2,0,0,0,0,0,1,0
dev/0002/dia29_utt3,0,0,0,0,0,1,0
dev/0001/dia29_utt4,0,0,0,0,1,0,0
dev/0002/dia29_utt5,0,0,0,0,1,0,0
dev/0001/dia29_utt6,0,0,0,0,1,0,0
dev/0002/dia29_utt7,0,0,0,0,1,0,0
dev/0001/dia29_utt8,1,0,0,0,0,0,0
dev/0001/dia29_utt9,1,0,0,0,0,0,0
dev/0004/dia2_utt0,0,0,0,0,1,0,0
dev/0018/dia2_utt1,0,0,0,0,0,0,1
dev/0004/dia2_utt2,0,0,0,0,0,0,1
dev/0018/dia2_utt3,0,0,0,0,0,0,1
dev/0004/dia2_utt4,0,0,0,1,0,0,0
dev/0018/dia2_utt5,0,0,0,0,1,0,0
dev/0004/dia30_utt0,0,0,1,0,0,0,0
dev/0000/dia30_utt1,0,0,1,0,0,0,0
dev/0004/dia30_utt10,0,0,0,1,0,0,0
dev/0000/dia30_utt11,0,0,0,0,1,0,0
dev/0004/dia30_utt12,0,0,0,0,1,0,0
dev/0000/dia30_utt13,1,0,0,0,0,0,0
dev/0000/dia30_utt14,1,0,0,0,0,0,0
dev/0000/dia30_utt15,1,0,0,0,0,0,0
dev/0000/dia30_utt16,1,0,0,0,0,0,0
dev/0000/dia30_utt17,1,0,0,0,0,0,0
dev/0000/dia30_utt18,0,0,0,0,1,0,0
dev/0004/dia30_utt2,0,0,1,0,0,0,0
dev/0000/dia30_utt3,0,0,0,0,0,1,0
dev/0004/dia30_utt4,1,0,0,0,0,0,0
dev/0000/dia30_utt5,0,0,0,0,0,0,1
dev/0004/dia30_utt6,0,0,0,0,1,0,0
dev/0000/dia30_utt7,0,0,0,0,1,0,0
dev/0004/dia30_utt8,0,0,0,1,0,0,0
dev/0000/dia30_utt9,0,0,0,1,0,0,0
dev/0019/dia31_utt0,0,0,0,0,0,1,0
dev/0003/dia31_utt1,0,0,0,0,0,0,1
dev/0006/dia31_utt10,0,0,0,1,0,0,0
dev/0019/dia31_utt11,1,0,0,0,0,0,0
dev/0006/dia31_utt12,0,0,0,1,0,0,0
dev/0019/dia31_utt2,0,0,0,0,0,1,0
dev/0003/dia31_utt3,0,0,0,0,1,0,0
dev/0003/dia31_utt4,0,0,0,0,1,0,0
dev/0019/dia31_utt5,0,0,0,0,0,1,0
dev/0006/dia31_utt6,0,0,0,1,0,0,0
dev/0006/dia31_utt7,0,0,0,1,0,0,0
dev/0006/dia31_utt8,0,0,0,1,0,0,0
dev/0006/dia31_utt9,0,0,0,1,0,0,0
dev/0020/dia32_utt0,0,0,0,0,1,0,0
dev/0002/dia32_utt1,0,0,0,0,1,0,0
dev/0020/dia32_utt10,0,0,0,0,1,0,0
dev/0002/dia32_utt11,0,0,0,0,1,0,0
dev/0020/dia32_utt12,0,0,0,0,1,0,0
dev/0002/dia32_utt13,0,0,0,0,1,0,0
dev/0020/dia32_utt2,0,0,0,0,0,0,1
dev/0002/dia32_utt3,0,0,0,0,1,0,0
dev/0020/dia32_utt4,0,0,0,0,1,0,0
dev/0002/dia32_utt5,0,0,0,0,1,0,0
dev/0020/dia32_utt6,0,0,0,0,1,0,0
dev/0020/dia32_utt7,0,0,0,0,1,0,0
dev/0020/dia32_utt8,0,0,0,0,1,0,0
dev/0006/dia32_utt9,1,0,0,0,0,0,0
dev/0003/dia33_utt0,0,0,0,0,0,1,0
dev/0001/dia33_utt1,0,0,0,0,1,0,0
dev/0021/dia34_utt0,0,0,0,0,1,0,0
dev/0006/dia34_utt1,0,0,0,0,1,0,0
dev/0006/dia34_utt10,0,0,0,1,0,0,0
dev/0006/dia34_utt2,0,0,0,0,1,0,0
dev/0006/dia34_utt3,0,0,0,0,1,0,0
dev/0021/dia34_utt4,0,0,0,0,1,0,0
dev/0006/dia34_utt5,0,0,0,0,1,0,0
dev/0006/dia34_utt6,0,0,1,0,0,0,0
dev/0006/dia34_utt7,0,1,0,0,0,0,0
dev/0006/dia34_utt8,0,0,0,0,0,1,0
dev/0021/dia34_utt9,0,0,0,0,1,0,0
dev/0022/dia35_utt0,0,0,0,0,1,0,0
dev/0006/dia36_utt0,0,0,1,0,0,0,0
dev/0002/dia36_utt1,0,0,0,0,1,0,0
dev/0006/dia36_utt10,0,0,1,0,0,0,0
dev/0002/dia36_utt11,0,1,0,0,0,0,0
dev/0006/dia36_utt2,0,0,0,0,1,0,0
dev/0002/dia36_utt3,0,0,0,0,1,0,0
dev/0006/dia36_utt4,0,0,0,0,1,0,0
dev/0002/dia36_utt5,0,0,0,0,0,1,0
dev/0006/dia36_utt6,0,0,0,0,0,0,1
dev/0002/dia36_utt7,0,0,0,0,1,0,0
dev/0006/dia36_utt8,0,0,0,0,1,0,0
dev/0002/dia36_utt9,0,0,0,0,0,0,1
dev/0023/dia37_utt0,0,0,0,0,1,0,0
dev/0003/dia37_utt1,0,0,1,0,0,0,0
dev/0006/dia37_utt10,0,0,0,0,1,0,0
dev/0002/dia37_utt2,0,0,1,0,0,0,0
dev/0004/dia37_utt3,0,0,0,0,0,0,1
dev/0001/dia37_utt4,0,0,0,0,0,0,1
dev/0004/dia37_utt5,0,0,1,0,0,0,0
dev/0023/dia37_utt6,0,0,1,0,0,0,0
dev/0016/dia37_utt7,0,1,0,0,0,0,0
dev/0000/dia37_utt8,0,0,0,0,0,0,1
dev/0006/dia37_utt9,0,0,0,0,0,0,1
dev/0004/dia38_utt0,1,0,0,0,0,0,0
dev/0003/dia39_utt0,0,0,0,0,1,0,0
dev/0001/dia39_utt1,0,0,0,1,0,0,0
dev/0003/dia39_utt2,0,0,0,1,0,0,0
dev/0007/dia3_utt0,0,0,0,0,1,0,0
dev/0006/dia3_utt1,0,0,0,1,0,0,0
dev/0003/dia3_utt2,0,0,0,0,0,0,1
dev/0002/dia40_utt0,0,0,0,0,0,0,1
dev/0004/dia40_utt1,0,0,0,0,1,0,0
dev/0002/dia40_utt10,0,0,0,1,0,0,0
dev/0002/dia40_utt2,0,1,0,0,0,0,0
dev/0004/dia40_utt3,0,0,0,0,1,0,0
dev/0002/dia40_utt4,0,0,0,0,0,0,1
dev/0004/dia40_utt5,0,0,0,0,0,0,1
dev/0002/dia40_utt6,1,0,0,0,0,0,0
dev/0004/dia40_utt7,0,0,0,0,1,0,0
dev/0002/dia40_utt8,0,0,1,0,0,0,0
dev/0004/dia40_utt9,0,0,0,0,0,1,0
dev/0002/dia41_utt0,0,0,0,0,1,0,0
dev/0006/dia41_utt1,0,0,0,0,1,0,0
dev/0006/dia41_utt2,0,0,0,0,1,0,0
dev/0006/dia42_utt0,1,0,0,0,0,0,0
dev/0006/dia42_utt1,1,0,0,0,0,0,0
dev/0002/dia42_utt2,0,0,0,0,1,0,0
dev/0006/dia42_utt3,0,0,0,0,1,0,0
dev/0006/dia42_utt4,1,0,0,0,0,0,0
dev/0001/dia43_utt0,0,0,0,0,1,0,0
dev/0002/dia43_utt1,0,0,0,0,1,0,0
dev/0024/dia44_utt0,0,0,0,0,0,1,0
dev/0006/dia44_utt1,1,0,0,0,0,0,0
dev/0006/dia44_utt10,0,0,0,1,0,0,0
dev/0025/dia44_utt11,0,0,0,0,1,0,0
dev/0024/dia44_utt2,0,0,0,0,1,0,0
dev/0024/dia44_utt3,0,0,0,0,1,0,0
dev/0006/dia44_utt4,0,0,0,0,1,0,0
dev/0025/dia44_utt5,0,0,0,1,0,0,0
dev/0006/dia44_utt6,0,0,0,0,1,0,0
dev/0025/dia44_utt7,0,0,0,1,0,0,0
dev/0006/dia44_utt8,0,0,0,0,1,0,0
dev/0025/dia44_utt9,0,0,0,0,1,0,0
dev/0003/dia45_utt0,0,0,0,0,1,0,0
dev/0001/dia45_utt1,0,0,0,0,1,0,0
dev/0004/dia45_utt10,0,0,0,0,1,0,0
dev/0003/dia45_utt11,0,0,1,0,0,0,0
dev/0002/dia45_utt2,0,0,0,0,1,0,0
dev/0001/dia45_utt3,0,0,0,0,0,0,1
dev/0000/dia45_utt4,0,0,0,0,1,0,0
dev/0002/dia45_utt5,0,0,0,0,1,0,0
dev/0001/dia45_utt6,0,0,0,0,1,0,0
dev/0002/dia45_utt7,0,0,0,0,1,0,0
dev/0000/dia45_utt8,0,0,0,0,1,0,0
dev/0003/dia45_utt9,0,0,1,0,0,0,0
dev/0002/dia46_utt0,0,0,0,0,1,0,0
