basename,confused,default,enunciated,happy,laughing,sad
train/0000/ex01_confused_00075,1,0,0,0,0,0
train/0000/ex01_confused_00076,1,0,0,0,0,0
train/0000/ex01_confused_00077,1,0,0,0,0,0
train/0000/ex01_confused_00078,1,0,0,0,0,0
train/0000/ex01_confused_00079,1,0,0,0,0,0
train/0000/ex01_confused_00080,1,0,0,0,0,0
train/0000/ex01_confused_00081,1,0,0,0,0,0
train/0000/ex01_confused_00082,1,0,0,0,0,0
train/0000/ex01_confused_00083,1,0,0,0,0,0
train/0000/ex01_confused_00084,1,0,0,0,0,0
train/0000/ex01_confused_00085,1,0,0,0,0,0
train/0000/ex01_confused_00086,1,0,0,0,0,0
train/0000/ex01_confused_00087,1,0,0,0,0,0
train/0000/ex01_confused_00088,1,0,0,0,0,0
train/0000/ex01_confused_00089,1,0,0,0,0,0
train/0000/ex01_confused_00090,1,0,0,0,0,0
train/0000/ex01_confused_00091,1,0,0,0,0,0
train/0000/ex01_confused_00092,1,0,0,0,0,0
train/0000/ex01_confused_00093,1,0,0,0,0,0
train/0000/ex01_confused_00094,1,0,0,0,0,0
train/0000/ex01_confused_00095,1,0,0,0,0,0
train/0000/ex01_confused_00096,1,0,0,0,0,0
train/0000/ex01_confused_00097,1,0,0,0,0,0
train/0000/ex01_confused_00098,1,0,0,0,0,0
train/0000/ex01_confused_00099,1,0,0,0,0,0
train/0000/ex01_confused_00100,1,0,0,0,0,0
train/0000/ex01_confused_00101,1,0,0,0,0,0
train/0000/ex01_confused_00102,1,0,0,0,0,0
train/0000/ex01_confused_00103,1,0,0,0,0,0
train/0000/ex01_confused_00104,1,0,0,0,0,0
train/0000/ex01_confused_00105,1,0,0,0,0,0
train/0000/ex01_confused_00106,1,0,0,0,0,0
train/0000/ex01_confused_00107,1,0,0,0,0,0
train/0000/ex01_confused_00108,1,0,0,0,0,0
train/0000/ex01_confused_00109,1,0,0,0,0,0
train/0000/ex01_confused_00110,1,0,0,0,0,0
train/0000/ex01_confused_00111,1,0,0,0,0,0
train/0000/ex01_confused_00112,1,0,0,0,0,0
train/0000/ex01_confused_00113,1,0,0,0,0,0
train/0000/ex01_confused_00114,1,0,0,0,0,0
train/0000/ex01_confused_00115,1,0,0,0,0,0
train/0000/ex01_confused_00116,1,0,0,0,0,0
train/0000/ex01_confused_00117,1,0,0,0,0,0
train/0000/ex01_confused_00118,1,0,0,0,0,0
train/0000/ex01_confused_00119,1,0,0,0,0,0
train/0000/ex01_confused_00120,1,0,0,0,0,0
train/0000/ex01_confused_00121,1,0,0,0,0,0
train/0000/ex01_confused_00122,1,0,0,0,0,0
train/0000/ex01_confused_00123,1,0,0,0,0,0
train/0000/ex01_confused_00124,1,0,0,0,0,0
train/0000/ex01_confused_00125,1,0,0,0,0,0
train/0000/ex01_confused_00126,1,0,0,0,0,0
train/0000/ex01_confused_00127,1,0,0,0,0,0
train/0000/ex01_confused_00128,1,0,0,0,0,0
train/0000/ex01_confused_00129,1,0,0,0,0,0
train/0000/ex01_confused_00130,1,0,0,0,0,0
train/0000/ex01_confused_00131,1,0,0,0,0,0
train/0000/ex01_confused_00132,1,0,0,0,0,0
train/0000/ex01_confused_00133,1,0,0,0,0,0
train/0000/ex01_confused_00134,1,0,0,0,0,0
train/0000/ex01_confused_00135,1,0,0,0,0,0
train/0000/ex01_confused_00136,1,0,0,0,0,0
train/0000/ex01_confused_00137,1,0,0,0,0,0
train/0000/ex01_confused_00138,1,0,0,0,0,0
train/0000/ex01_confused_00139,1,0,0,0,0,0
train/0000/ex01_confused_00140,1,0,0,0,0,0
train/0000/ex01_confused_00141,1,0,0,0,0,0
train/0000/ex01_confused_00142,1,0,0,0,0,0
train/0000/ex01_confused_00143,1,0,0,0,0,0
train/0000/ex01_confused_00144,1,0,0,0,0,0
train/0000/ex01_confused_00145,1,0,0,0,0,0
train/0000/ex01_confused_00146,1,0,0,0,0,0
train/0000/ex01_confused_00147,1,0,0,0,0,0
train/0000/ex01_confused_00148,1,0,0,0,0,0
train/0000/ex01_confused_00149,1,0,0,0,0,0
train/0000/ex01_confused_00150,1,0,0,0,0,0
train/0000/ex01_confused_00151,1,0,0,0,0,0
train/0000/ex01_confused_00152,1,0,0,0,0,0
train/0000/ex01_confused_00153,1,0,0,0,0,0
train/0000/ex01_confused_00154,1,0,0,0,0,0
train/0000/ex01_confused_00155,1,0,0,0,0,0
train/0000/ex01_confused_00156,1,0,0,0,0,0
train/0000/ex01_confused_00157,1,0,0,0,0,0
train/0000/ex01_confused_00158,1,0,0,0,0,0
train/0000/ex01_confused_00159,1,0,0,0,0,0
train/0000/ex01_confused_00160,1,0,0,0,0,0
train/0000/ex01_confused_00161,1,0,0,0,0,0
train/0000/ex01_confused_00162,1,0,0,0,0,0
train/0000/ex01_confused_00163,1,0,0,0,0,0
train/0000/ex01_confused_00164,1,0,0,0,0,0
train/0000/ex01_confused_00165,1,0,0,0,0,0
train/0000/ex01_confused_00166,1,0,0,0,0,0
train/0000/ex01_confused_00167,1,0,0,0,0,0
train/0000/ex01_confused_00168,1,0,0,0,0,0
train/0000/ex01_confused_00169,1,0,0,0,0,0
train/0000/ex01_confused_00170,1,0,0,0,0,0
train/0000/ex01_confused_00171,1,0,0,0,0,0
train/0000/ex01_confused_00172,1,0,0,0,0,0
train/0000/ex01_confused_00173,1,0,0,0,0,0
train/0000/ex01_confused_00174,1,0,0,0,0,0
train/0000/ex01_confused_00175,1,0,0,0,0,0
train/0000/ex01_confused_00176,1,0,0,0,0,0
train/0000/ex01_confused_00177,1,0,0,0,0,0
train/0000/ex01_confused_00178,1,0,0,0,0,0
train/0000/ex01_confused_00179,1,0,0,0,0,0
train/0000/ex01_confused_00180,1,0,0,0,0,0
train/0000/ex01_confused_00181,1,0,0,0,0,0
train/0000/ex01_confused_00182,1,0,0,0,0,0
train/0000/ex01_confused_00183,1,0,0,0,0,0
train/0000/ex01_confused_00184,1,0,0,0,0,0
train/0000/ex01_confused_00185,1,0,0,0,0,0
train/0000/ex01_confused_00186,1,0,0,0,0,0
train/0000/ex01_confused_00187,1,0,0,0,0,0
train/0000/ex01_confused_00188,1,0,0,0,0,0
train/0000/ex01_confused_00189,1,0,0,0,0,0
train/0000/ex01_confused_00190,1,0,0,0,0,0
train/0000/ex01_confused_00191,1,0,0,0,0,0
train/0000/ex01_confused_00192,1,0,0,0,0,0
train/0000/ex01_confused_00193,1,0,0,0,0,0
train/0000/ex01_confused_00194,1,0,0,0,0,0
train/0000/ex01_confused_00195,1,0,0,0,0,0
train/0000/ex01_confused_00196,1,0,0,0,0,0
train/0000/ex01_confused_00197,1,0,0,0,0,0
train/0000/ex01_confused_00198,1,0,0,0,0,0
train/0000/ex01_confused_00199,1,0,0,0,0,0
train/0000/ex01_confused_00200,1,0,0,0,0,0
train/0000/ex01_confused_00201,1,0,0,0,0,0
train/0000/ex01_confused_00202,1,0,0,0,0,0
train/0000/ex01_confused_00203,1,0,0,0,0,0
train/0000/ex01_confused_00204,1,0,0,0,0,0
train/0000/ex01_confused_00205,1,0,0,0,0,0
train/0000/ex01_confused_00206,1,0,0,0,0,0
train/0000/ex01_confused_00207,1,0,0,0,0,0
train/0000/ex01_confused_00208,1,0,0,0,0,0
train/0000/ex01_confused_00209,1,0,0,0,0,0
train/0000/ex01_confused_00210,1,0,0,0,0,0
train/0000/ex01_confused_00211,1,0,0,0,0,0
train/0000/ex01_confused_00212,1,0,0,0,0,0
train/0000/ex01_confused_00213,1,0,0,0,0,0
train/0000/ex01_confused_00214,1,0,0,0,0,0
train/0000/ex01_confused_00215,1,0,0,0,0,0
train/0000/ex01_confused_00216,1,0,0,0,0,0
train/0000/ex01_confused_00217,1,0,0,0,0,0
train/0000/ex01_confused_00218,1,0,0,0,0,0
train/0000/ex01_confused_00219,1,0,0,0,0,0
train/0000/ex01_confused_00220,1,0,0,0,0,0
train/0000/ex01_confused_00221,1,0,0,0,0,0
train/0000/ex01_confused_00222,1,0,0,0,0,0
train/0000/ex01_confused_00223,1,0,0,0,0,0
train/0000/ex01_confused_00224,1,0,0,0,0,0
train/0000/ex01_confused_00225,1,0,0,0,0,0
train/0000/ex01_confused_00226,1,0,0,0,0,0
train/0000/ex01_confused_00227,1,0,0,0,0,0
train/0000/ex01_confused_00228,1,0,0,0,0,0
train/0000/ex01_confused_00229,1,0,0,0,0,0
train/0000/ex01_confused_00230,1,0,0,0,0,0
train/0000/ex01_confused_00231,1,0,0,0,0,0
train/0000/ex01_confused_00232,1,0,0,0,0,0
train/0000/ex01_confused_00233,1,0,0,0,0,0
train/0000/ex01_confused_00234,1,0,0,0,0,0
train/0000/ex01_confused_00235,1,0,0,0,0,0
train/0000/ex01_confused_00236,1,0,0,0,0,0
train/0000/ex01_confused_00237,1,0,0,0,0,0
train/0000/ex01_confused_00238,1,0,0,0,0,0
train/0000/ex01_confused_00239,1,0,0,0,0,0
train/0000/ex01_confused_00240,1,0,0,0,0,0
train/0000/ex01_confused_00241,1,0,0,0,0,0
train/0000/ex01_confused_00242,1,0,0,0,0,0
train/0000/ex01_confused_00243,1,0,0,0,0,0
train/0000/ex01_confused_00244,1,0,0,0,0,0
train/0000/ex01_confused_00245,1,0,0,0,0,0
train/0000/ex01_confused_00246,1,0,0,0,0,0
train/0000/ex01_confused_00247,1,0,0,0,0,0
train/0000/ex01_confused_00248,1,0,0,0,0,0
train/0000/ex01_confused_00249,1,0,0,0,0,0
train/0000/ex01_confused_00250,1,0,0,0,0,0
train/0000/ex01_confused_00251,1,0,0,0,0,0
train/0000/ex01_confused_00252,1,0,0,0,0,0
train/0000/ex01_confused_00253,1,0,0,0,0,0
train/0000/ex01_confused_00254,1,0,0,0,0,0
train/0000/ex01_confused_00255,1,0,0,0,0,0
train/0000/ex01_confused_00256,1,0,0,0,0,0
train/0000/ex01_confused_00257,1,0,0,0,0,0
train/0000/ex01_confused_00258,1,0,0,0,0,0
train/0000/ex01_confused_00259,1,0,0,0,0,0
train/0000/ex01_confused_00260,1,0,0,0,0,0
train/0000/ex01_confused_00261,1,0,0,0,0,0
train/0000/ex01_confused_00262,1,0,0,0,0,0
train/0000/ex01_confused_00263,1,0,0,0,0,0
train/0000/ex01_confused_00264,1,0,0,0,0,0
train/0000/ex01_confused_00265,1,0,0,0,0,0
train/0000/ex01_confused_00266,1,0,0,0,0,0
train/0000/ex01_confused_00267,1,0,0,0,0,0
train/0000/ex01_confused_00268,1,0,0,0,0,0
train/0000/ex01_confused_00269,1,0,0,0,0,0
train/0000/ex01_confused_00270,1,0,0,0,0,0
train/0000/ex01_confused_00271,1,0,0,0,0,0
train/0000/ex01_confused_00272,1,0,0,0,0,0
train/0000/ex01_confused_00273,1,0,0,0,0,0
train/0000/ex01_confused_00274,1,0,0,0,0,0
train/0000/ex01_confused_00275,1,0,0,0,0,0
train/0000/ex01_confused_00276,1,0,0,0,0,0
train/0000/ex01_confused_00277,1,0,0,0,0,0
train/0000/ex01_confused_00278,1,0,0,0,0,0
train/0000/ex01_confused_00279,1,0,0,0,0,0
train/0000/ex01_confused_00280,1,0,0,0,0,0
train/0000/ex01_confused_00281,1,0,0,0,0,0
train/0000/ex01_confused_00282,1,0,0,0,0,0
train/0000/ex01_confused_00283,1,0,0,0,0,0
train/0000/ex01_confused_00284,1,0,0,0,0,0
train/0000/ex01_confused_00285,1,0,0,0,0,0
train/0000/ex01_confused_00286,1,0,0,0,0,0
train/0000/ex01_confused_00287,1,0,0,0,0,0
train/0000/ex01_confused_00288,1,0,0,0,0,0
train/0000/ex01_confused_00289,1,0,0,0,0,0
train/0000/ex01_confused_00290,1,0,0,0,0,0
train/0000/ex01_confused_00291,1,0,0,0,0,0
train/0000/ex01_confused_00292,1,0,0,0,0,0
train/0000/ex01_confused_00293,1,0,0,0,0,0
train/0000/ex01_confused_00294,1,0,0,0,0,0
train/0000/ex01_confused_00295,1,0,0,0,0,0
train/0000/ex01_confused_00296,1,0,0,0,0,0
train/0000/ex01_confused_00297,1,0,0,0,0,0
train/0000/ex01_confused_00298,1,0,0,0,0,0
train/0000/ex01_confused_00299,1,0,0,0,0,0
train/0000/ex01_confused_00300,1,0,0,0,0,0
train/0000/ex01_confused_00301,1,0,0,0,0,0
train/0000/ex01_confused_00302,1,0,0,0,0,0
train/0000/ex01_confused_00303,1,0,0,0,0,0
train/0000/ex01_confused_00304,1,0,0,0,0,0
train/0000/ex01_confused_00305,1,0,0,0,0,0
train/0000/ex01_confused_00306,1,0,0,0,0,0
train/0000/ex01_confused_00307,1,0,0,0,0,0
train/0000/ex01_confused_00308,1,0,0,0,0,0
train/0000/ex01_confused_00309,1,0,0,0,0,0
train/0000/ex01_confused_00310,1,0,0,0,0,0
train/0000/ex01_confused_00311,1,0,0,0,0,0
train/0000/ex01_confused_00312,1,0,0,0,0,0
train/0000/ex01_confused_00313,1,0,0,0,0,0
train/0000/ex01_confused_00314,1,0,0,0,0,0
train/0000/ex01_confused_00315,1,0,0,0,0,0
train/0000/ex01_confused_00316,1,0,0,0,0,0
train/0000/ex01_confused_00317,1,0,0,0,0,0
train/0000/ex01_confused_00318,1,0,0,0,0,0
train/0000/ex01_confused_00319,1,0,0,0,0,0
train/0000/ex01_confused_00320,1,0,0,0,0,0
train/0000/ex01_confused_00321,1,0,0,0,0,0
train/0000/ex01_confused_00322,1,0,0,0,0,0
train/0000/ex01_confused_00323,1,0,0,0,0,0
train/0000/ex01_confused_00324,1,0,0,0,0,0
train/0000/ex01_confused_00325,1,0,0,0,0,0
train/0000/ex01_confused_00326,1,0,0,0,0,0
train/0000/ex01_confused_00327,1,0,0,0,0,0
train/0000/ex01_confused_00328,1,0,0,0,0,0
train/0000/ex01_confused_00329,1,0,0,0,0,0
train/0000/ex01_confused_00330,1,0,0,0,0,0
train/0000/ex01_confused_00331,1,0,0,0,0,0
train/0000/ex01_confused_00332,1,0,0,0,0,0
train/0000/ex01_confused_00333,1,0,0,0,0,0
train/0000/ex01_confused_00334,1,0,0,0,0,0
train/0000/ex01_confused_00335,1,0,0,0,0,0
train/0000/ex01_confused_00336,1,0,0,0,0,0
train/0000/ex01_confused_00337,1,0,0,0,0,0
train/0000/ex01_confused_00338,1,0,0,0,0,0
train/0000/ex01_confused_00339,1,0,0,0,0,0
train/0000/ex01_confused_00340,1,0,0,0,0,0
train/0000/ex01_confused_00341,1,0,0,0,0,0
train/0000/ex01_confused_00342,1,0,0,0,0,0
train/0000/ex01_confused_00343,1,0,0,0,0,0
train/0000/ex01_confused_00344,1,0,0,0,0,0
train/0000/ex01_confused_00345,1,0,0,0,0,0
train/0000/ex01_confused_00346,1,0,0,0,0,0
train/0000/ex01_confused_00347,1,0,0,0,0,0
train/0000/ex01_confused_00348,1,0,0,0,0,0
dev/0000/ex01_confused_00349,1,0,0,0,0,0
dev/0000/ex01_confused_00350,1,0,0,0,0,0
dev/0000/ex01_confused_00351,1,0,0,0,0,0
dev/0000/ex01_confused_00352,1,0,0,0,0,0
dev/0000/ex01_confused_00353,1,0,0,0,0,0
dev/0000/ex01_confused_00354,1,0,0,0,0,0
dev/0000/ex01_confused_00355,1,0,0,0,0,0
dev/0000/ex01_confused_00356,1,0,0,0,0,0
dev/0000/ex01_confused_00357,1,0,0,0,0,0
dev/0000/ex01_confused_00358,1,0,0,0,0,0
dev/0000/ex01_confused_00359,1,0,0,0,0,0
dev/0000/ex01_confused_00360,1,0,0,0,0,0
dev/0000/ex01_confused_00361,1,0,0,0,0,0
dev/0000/ex01_confused_00362,1,0,0,0,0,0
dev/0000/ex01_confused_00363,1,0,0,0,0,0
dev/0000/ex01_confused_00364,1,0,0,0,0,0
dev/0000/ex01_confused_00365,1,0,0,0,0,0
test/0000/ex01_confused_00366,1,0,0,0,0,0
test/0000/ex01_confused_00367,1,0,0,0,0,0
test/0000/ex01_confused_00368,1,0,0,0,0,0
test/0000/ex01_confused_00369,1,0,0,0,0,0
test/0000/ex01_confused_00370,1,0,0,0,0,0
test/0000/ex01_confused_00371,1,0,0,0,0,0
test/0000/ex01_confused_00372,1,0,0,0,0,0
test/0000/ex01_confused_00373,1,0,0,0,0,0
test/0000/ex01_confused_00374,1,0,0,0,0,0
test/0000/ex01_confused_00375,1,0,0,0,0,0
test/0000/ex01_confused_00376,1,0,0,0,0,0
test/0000/ex01_confused_00377,1,0,0,0,0,0
test/0000/ex01_confused_00378,1,0,0,0,0,0
test/0000/ex01_confused_00379,1,0,0,0,0,0
test/0000/ex01_confused_00380,1,0,0,0,0,0
train/0000/ex01_default_00001,0,1,0,0,0,0
train/0000/ex01_default_00002,0,1,0,0,0,0
train/0000/ex01_default_00003,0,1,0,0,0,0
train/0000/ex01_default_00004,0,1,0,0,0,0
train/0000/ex01_default_00005,0,1,0,0,0,0
train/0000/ex01_default_00006,0,1,0,0,0,0
train/0000/ex01_default_00007,0,1,0,0,0,0
train/0000/ex01_default_00008,0,1,0,0,0,0
train/0000/ex01_default_00009,0,1,0,0,0,0
train/0000/ex01_default_00010,0,1,0,0,0,0
train/0000/ex01_default_00011,0,1,0,0,0,0
train/0000/ex01_default_00012,0,1,0,0,0,0
train/0000/ex01_default_00013,0,1,0,0,0,0
train/0000/ex01_default_00014,0,1,0,0,0,0
train/0000/ex01_default_00015,0,1,0,0,0,0
train/0000/ex01_default_00016,0,1,0,0,0,0
train/0000/ex01_default_00017,0,1,0,0,0,0
train/0000/ex01_default_00018,0,1,0,0,0,0
train/0000/ex01_default_00019,0,1,0,0,0,0
train/0000/ex01_default_00020,0,1,0,0,0,0
train/0000/ex01_default_00021,0,1,0,0,0,0
train/0000/ex01_default_00022,0,1,0,0,0,0
train/0000/ex01_default_00023,0,1,0,0,0,0
train/0000/ex01_default_00024,0,1,0,0,0,0
train/0000/ex01_default_00025,0,1,0,0,0,0
train/0000/ex01_default_00026,0,1,0,0,0,0
train/0000/ex01_default_00027,0,1,0,0,0,0
train/0000/ex01_default_00028,0,1,0,0,0,0
train/0000/ex01_default_00029,0,1,0,0,0,0
train/0000/ex01_default_00030,0,1,0,0,0,0
train/0000/ex01_default_00031,0,1,0,0,0,0
train/0000/ex01_default_00032,0,1,0,0,0,0
train/0000/ex01_default_00033,0,1,0,0,0,0
train/0000/ex01_default_00034,0,1,0,0,0,0
train/0000/ex01_default_00035,0,1,0,0,0,0
train/0000/ex01_default_00036,0,1,0,0,0,0
train/0000/ex01_default_00037,0,1,0,0,0,0
train/0000/ex01_default_00038,0,1,0,0,0,0
train/0000/ex01_default_00039,0,1,0,0,0,0
train/0000/ex01_default_00040,0,1,0,0,0,0
train/0000/ex01_default_00041,0,1,0,0,0,0
train/0000/ex01_default_00042,0,1,0,0,0,0
train/0000/ex01_default_00043,0,1,0,0,0,0
train/0000/ex01_default_00044,0,1,0,0,0,0
train/0000/ex01_default_00045,0,1,0,0,0,0
train/0000/ex01_default_00046,0,1,0,0,0,0
train/0000/ex01_default_00047,0,1,0,0,0,0
train/0000/ex01_default_00048,0,1,0,0,0,0
train/0000/ex01_default_00049,0,1,0,0,0,0
train/0000/ex01_default_00050,0,1,0,0,0,0
train/0000/ex01_default_00051,0,1,0,0,0,0
train/0000/ex01_default_00052,0,1,0,0,0,0
train/0000/ex01_default_00053,0,1,0,0,0,0
train/0000/ex01_default_00054,0,1,0,0,0,0
train/0000/ex01_default_00055,0,1,0,0,0,0
train/0000/ex01_default_00056,0,1,0,0,0,0
train/0000/ex01_default_00057,0,1,0,0,0,0
train/0000/ex01_default_00058,0,1,0,0,0,0
train/0000/ex01_default_00059,0,1,0,0,0,0
train/0000/ex01_default_00060,0,1,0,0,0,0
train/0000/ex01_default_00061,0,1,0,0,0,0
train/0000/ex01_default_00062,0,1,0,0,0,0
train/0000/ex01_default_00063,0,1,0,0,0,0
train/0000/ex01_default_00064,0,1,0,0,0,0
train/0000/ex01_default_00065,0,1,0,0,0,0
train/0000/ex01_default_00066,0,1,0,0,0,0
train/0000/ex01_default_00067,0,1,0,0,0,0
train/0000/ex01_default_00068,0,1,0,0,0,0
train/0000/ex01_default_00069,0,1,0,0,0,0
train/0000/ex01_default_00070,0,1,0,0,0,0
train/0000/ex01_default_00071,0,1,0,0,0,0
train/0000/ex01_default_00072,0,1,0,0,0,0
train/0000/ex01_default_00073,0,1,0,0,0,0
train/0000/ex01_default_00074,0,1,0,0,0,0
train/0000/ex01_default_00075,0,1,0,0,0,0
train/0000/ex01_default_00076,0,1,0,0,0,0
train/0000/ex01_default_00077,0,1,0,0,0,0
train/0000/ex01_default_00078,0,1,0,0,0,0
train/0000/ex01_default_00079,0,1,0,0,0,0
train/0000/ex01_default_00080,0,1,0,0,0,0
train/0000/ex01_default_00081,0,1,0,0,0,0
train/0000/ex01_default_00082,0,1,0,0,0,0
train/0000/ex01_default_00083,0,1,0,0,0,0
train/0000/ex01_default_00084,0,1,0,0,0,0
train/0000/ex01_default_00085,0,1,0,0,0,0
train/0000/ex01_default_00086,0,1,0,0,0,0
train/0000/ex01_default_00087,0,1,0,0,0,0
train/0000/ex01_default_00088,0,1,0,0,0,0
train/0000/ex01_default_00089,0,1,0,0,0,0
train/0000/ex01_default_00090,0,1,0,0,0,0
train/0000/ex01_default_00091,0,1,0,0,0,0
train/0000/ex01_default_00092,0,1,0,0,0,0
train/0000/ex01_default_00093,0,1,0,0,0,0
train/0000/ex01_default_00094,0,1,0,0,0,0
train/0000/ex01_default_00095,0,1,0,0,0,0
train/0000/ex01_default_00096,0,1,0,0,0,0
train/0000/ex01_default_00097,0,1,0,0,0,0
train/0000/ex01_default_00098,0,1,0,0,0,0
train/0000/ex01_default_00099,0,1,0,0,0,0
train/0000/ex01_default_00100,0,1,0,0,0,0
train/0000/ex01_default_00101,0,1,0,0,0,0
train/0000/ex01_default_00102,0,1,0,0,0,0
train/0000/ex01_default_00103,0,1,0,0,0,0
train/0000/ex01_default_00104,0,1,0,0,0,0
train/0000/ex01_default_00105,0,1,0,0,0,0
train/0000/ex01_default_00106,0,1,0,0,0,0
train/0000/ex01_default_00107,0,1,0,0,0,0
train/0000/ex01_default_00108,0,1,0,0,0,0
train/0000/ex01_default_00109,0,1,0,0,0,0
train/0000/ex01_default_00110,0,1,0,0,0,0
train/0000/ex01_default_00111,0,1,0,0,0,0
train/0000/ex01_default_00112,0,1,0,0,0,0
train/0000/ex01_default_00113,0,1,0,0,0,0
train/0000/ex01_default_00114,0,1,0,0,0,0
train/0000/ex01_default_00115,0,1,0,0,0,0
train/0000/ex01_default_00116,0,1,0,0,0,0
train/0000/ex01_default_00117,0,1,0,0,0,0
train/0000/ex01_default_00118,0,1,0,0,0,0
train/0000/ex01_default_00119,0,1,0,0,0,0
train/0000/ex01_default_00120,0,1,0,0,0,0
train/0000/ex01_default_00121,0,1,0,0,0,0
train/0000/ex01_default_00122,0,1,0,0,0,0
train/0000/ex01_default_00123,0,1,0,0,0,0
train/0000/ex01_default_00124,0,1,0,0,0,0
train/0000/ex01_default_00125,0,1,0,0,0,0
train/0000/ex01_default_00126,0,1,0,0,0,0
train/0000/ex01_default_00127,0,1,0,0,0,0
train/0000/ex01_default_00128,0,1,0,0,0,0
train/0000/ex01_default_00129,0,1,0,0,0,0
train/0000/ex01_default_00130,0,1,0,0,0,0
train/0000/ex01_default_00131,0,1,0,0,0,0
train/0000/ex01_default_00132,0,1,0,0,0,0
train/0000/ex01_default_00133,0,1,0,0,0,0
train/0000/ex01_default_00134,0,1,0,0,0,0
train/0000/ex01_default_00135,0,1,0,0,0,0
train/0000/ex01_default_00136,0,1,0,0,0,0
train/0000/ex01_default_00137,0,1,0,0,0,0
train/0000/ex01_default_00138,0,1,0,0,0,0
train/0000/ex01_default_00139,0,1,0,0,0,0
train/0000/ex01_default_00140,0,1,0,0,0,0
train/0000/ex01_default_00141,0,1,0,0,0,0
